PeakID (cmd=annotatePeaks.pl /home/ttroutman/2020_seidman_troutman_sakai_etal/intersect_ATAC_H3K27ac_RNA_20191027/mergePeaks_C57_NoTx_Tim4Pos20wkNASH.txt mm10 -d /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ -size 1000) (cmd=getDiffExpression.pl /home/psaisan/MCAT/KC-H_KC_N_H3k27ac_at_peaks_w1000.txt WT WT KO KO -log2fold 1 -raw)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ Tag Count in 1000 bp (9468035.0 Total, normalization factor = 1.06, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ Tag Count in 1000 bp (22615879.0 Total, normalization factor = 0.44, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ Tag Count in 1000 bp (18749728.0 Total, normalization factor = 0.53, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ Tag Count in 1000 bp (19231109.0 Total, normalization factor = 0.52, effective total = 10000000)	WT vs. KO Log2 Fold Change	WT vs. KO p-value	WT vs. KO adj. p-value
Merged-chr10-111986655-2	chr10	111986555	111986755	+	41.25	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	exon (NM_028608, exon 4 of 6)	exon (NM_028608, exon 4 of 6)	10609.0	NM_028608	73690.0	Mm.173790	NM_028608	ENSMUSG00000056888	Glipr1	2410114O14Rik|RTVP-1|RTVP1|mRTVP-1	GLI pathogenesis-related 1 (glioma)	protein-coding	9.51	17.69	56.0	50.96	2.16870778104139	2.08466808175571e-05	0.0004978067274898
Merged-chr17-48300422-2	chr17	48300322	48300522	+	13.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	5' UTR (NM_001033405, exon 1 of 5)	5' UTR (NM_001033405, exon 1 of 5)	384.0	NM_001033405	328833.0	Mm.329104	NM_001033405	ENSMUSG00000071068	Treml2	AW049306|Gm750|Tlt2	triggering receptor expressed on myeloid cells-like 2	protein-coding	40.14	24.32	101.33	63.44	1.59753418095043	7.90736889861249e-05	0.0015009515704278
Merged-chr3-89436962-1	chr3	89436862	89437062	+	17.299999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_146131, intron 1 of 10)	intron (NM_146131, intron 1 of 10)	258.0	NM_146131	229534.0	Mm.65906	NM_146131	ENSMUSG00000042613	Pbxip1	4732463H20Rik	pre B cell leukemia transcription factor interacting protein 1	protein-coding	8.45	9.73	54.93	78.0	3.14029043145588	4.55433969142716e-09	3.52836674598723e-07
Merged-chr3-51195491-2	chr3	51195391	51195591	+	103.199997	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-28956.0	NM_009834	12457.0	Mm.86541	NM_009834	ENSMUSG00000023087	Noct	AU043840|Ccr4|Ccrn4l	nocturnin	protein-coding	54.92	48.2	122.67	139.36	1.59900840586611	5.22590612743487e-07	2.1244877022264e-05
Merged-chr10-31544327-1	chr10	31544227	31544427	+	18.700001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001146349, intron 1 of 5)	L1M5|LINE|L1	65398.0	NM_001146349	268291.0	Mm.295212	NM_001146349	ENSMUSG00000063760	Rnf217	AU016819|Ibrdc1	ring finger protein 217	protein-coding	5.28	5.75	39.47	29.64	2.88518658588775	2.36869025942302e-05	0.0005535561404894
Merged-chr7-125607997-2	chr7	125607897	125608097	+	28.849998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_021887, intron 1 of 8)	intron (NM_021887, intron 1 of 8)	4568.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	23.24	32.28	67.2	48.36	1.293709879586	0.0033040918000886	0.029601132450786
Merged-chr17-5445574-2	chr17	5445474	5445674	+	17.950001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-5314.0	NM_027457	70544.0	Mm.46654	NM_027457	ENSMUSG00000004945	Tmem242	1110008A10Rik|2310046K16Rik|5730437N04Rik	transmembrane protein 242	protein-coding	13.73	4.42	32.0	26.52	1.97074385282051	0.0032487769983118	0.029231940282376
Merged-chr11-59392493-2	chr11	59392393	59392593	+	17.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-16840.0	NM_001045521	216797.0	Mm.339586	NM_001045521	ENSMUSG00000049291	Prss38	Gm249|Mpn2	protease, serine 38	protein-coding	27.46	15.92	72.53	54.08	1.80726607316362	5.7834692809559e-05	0.0011560364173821
Merged-chr2-25549617-2	chr2	25549517	25549717	+	25.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-2677.0	NM_009422	22030.0	Mm.3399	NM_009422	ENSMUSG00000026942	Traf2	AI325259	TNF receptor-associated factor 2	protein-coding	25.35	27.41	65.07	53.04	1.42037399186083	0.000965574964472	0.0113008105008916
Merged-chr12-4210243-1	chr12	4210143	4210343	+	21.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	exon (NM_138305, exon 17 of 21)	exon (NM_138305, exon 17 of 21)	23722.0	NM_134046	52504.0	Mm.70546	NM_134046	ENSMUSG00000020652	Cenpo	2810429O05Rik|8430427C03Rik|D12Ertd482e	centromere protein O	protein-coding	21.12	12.82	39.47	43.16	1.52664646827947	0.0033666077463722	0.029971486299285
Merged-chr11-54936641-1	chr11	54936541	54936741	+	17.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001271456, intron 5 of 18)	intron (NM_001271456, intron 5 of 18)	26299.0	NM_001271456	57783.0	Mm.259671	NM_021327	ENSMUSG00000020400	Tnip1	ABIN|ABIN-1|ABIN1|AU018810|Naf1|Nef|VAN	TNFAIP3 interacting protein 1	protein-coding	2.11	1.77	32.0	23.92	4.04495462524023	1.62528229366431e-05	0.0004018332154003
Merged-chr10-39369677-2	chr10	39369577	39369777	+	103.800003	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_001122892)	promoter-TSS (NM_001122892)	-122.0	NM_001122892	14360.0	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding	48.58	26.53	89.6	92.04	1.51689286185192	5.96808268530838e-05	0.0011888428904235
Merged-chr16-24151506-2	chr16	24151406	24151606	+	23.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-68816.0	NR_155457	108168278.0	Mm.417246	NR_155457		Gm46545	-	predicted gene, 46545	ncRNA	6.34	8.84	28.8	31.2	2.2425508878279	0.0007024117746015	0.0087653436655495
Merged-chr1-170936532-1	chr1	170936432	170936632	+	20.700001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-8949.0	NR_027666	98752.0	Mm.1850	NM_145141	ENSMUSG00000038421	Fcrla	BB219290|FCRL|FCRL1|FREB|Fcrlm1|Fcrx|Freb1|mFREB|mFcrX	Fc receptor-like A	protein-coding	31.69	18.13	78.4	85.28	1.96260767719964	2.07863060496074e-06	6.94796648122448e-05
Merged-chr1-95647073-2	chr1	95646973	95647173	+	16.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001159745, intron 3 of 3)	intron (NM_001159745, intron 3 of 3)	20521.0	NM_001159745	20452.0	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding	33.8	44.66	116.8	134.16	1.91322199629454	2.86706081866227e-08	1.70283457650476e-06
Merged-chr13-5870913-2	chr13	5870813	5871013	+	18.700001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	TTS (NM_011803)	TTS (NM_011803)	9424.0	NM_011803	23849.0	Mm.275036	NM_011803	ENSMUSG00000000078	Klf6	AI448727|BCD1|C86813|CPBP|Copeb|FM2|FM6|Ierepo1|Ierepo3|R75280|Zf9	Kruppel-like factor 6	protein-coding	42.25	45.99	186.67	164.32	2.23619187353452	1.46206428429302e-13	3.6411675632906096e-11
Merged-chr2-75998067-1	chr2	75997967	75998167	+	26.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001081033, intron 19 of 19)	intron (NM_001081033, intron 19 of 19)	-16100.0	NM_030188	78802.0	Mm.282339	NM_030188	ENSMUSG00000075271	Ttc30a1	4930506L13Rik	tetratricopeptide repeat domain 30A1	protein-coding	10.56	7.07	21.87	31.72	1.8489395073872	0.0054285037246137	0.0431743127231581
Merged-chr2-32917738-2	chr2	32917638	32917838	+	64.550003	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_146119, intron 5 of 13)	intron (NM_146119, intron 5 of 13)	41604.0	NM_146119	227737.0	Mm.301646	NM_146119	ENSMUSG00000026796	Fam129b	9130404D14Rik	family with sequence similarity 129, member B	protein-coding	10.56	11.05	43.2	40.56	2.17737309938401	8.67849561512335e-05	0.0016213363330932
Merged-chr9-47716358-1	chr9	47716258	47716458	+	8.3	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_001025600, intron 1 of 8)	intron (NM_001025600, intron 1 of 8)	101850.0	NR_046048	100038460.0	Mm.447649	NR_046048		Gm10677	-	predicted gene 10677	ncRNA	16.9	14.15	99.73	81.12	2.78754993587073	8.900930886086549e-11	1.12072180629058e-08
Merged-chr8-84042246-2	chr8	84042146	84042346	+	23.25	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	TTS (NM_173184)	TTS (NM_173184)	329.0	NM_016671	50931.0	Mm.38386	NM_016671	ENSMUSG00000005465	Il27ra	CRL1|IL-27R|Tccr|WSX-1|Wsx1|zcytor1	interleukin 27 receptor, alpha	protein-coding	9.51	4.86	26.67	26.52	2.10343967834361	0.0021201287276017	0.0210142867538034
Merged-chr10-88420168-1	chr10	88420068	88420268	+	14.4	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001004164, intron 7 of 20)	intron (NM_001004164, intron 7 of 20)	-39419.0	NM_011517	20962.0	Mm.297977	NM_011517	ENSMUSG00000020059	Sycp3	Cor1|Scp3	synaptonemal complex protein 3	protein-coding	38.02	35.82	123.74	102.96	1.85799821951603	5.91245987558578e-08	3.27368615649443e-06
Merged-chr1-95666336-2	chr1	95666236	95666436	+	19.299999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001159745, intron 1 of 3)	intron (NM_001159745, intron 1 of 3)	1258.0	NM_001159745	20452.0	Mm.306228	NM_009183	ENSMUSG00000040710	St8sia4	PST|PST-1|SIAT8-D|ST8SiaIV|Siat8d	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	protein-coding	28.52	15.92	101.33	85.8	2.30456100430149	1.27781886998892e-08	8.71899534621955e-07
Merged-chr3-87521369-2	chr3	87521269	87521469	+	60.449997	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-4209.0	NM_001286844	27049.0	Mm.219460	NM_012051	ENSMUSG00000003382	Etv3	AI414410|METS|Pe1	ets variant 3	protein-coding	83.44	69.42	142.4	131.04	1.09148431972203	0.000173730446608	0.0028688265866031
Merged-chr10-19008735-1	chr10	19008635	19008835	+	20.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001166402, intron 1 of 7)	intron (NM_001166402, intron 1 of 7)	3228.0	NM_001166402	21929.0	Mm.116683	NM_009397	ENSMUSG00000019850	Tnfaip3	A20|Tnfip3	tumor necrosis factor, alpha-induced protein 3	protein-coding	130.97	135.75	462.94	395.19	1.92386462036074	7.50293487531947e-19	5.65419223389822e-16
Merged-chr14-76778462-2	chr14	76778362	76778562	+	20.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	MIRc|SINE|MIR	18331.0	NR_153763	73883.0	Mm.489041	NR_153763		4930431P22Rik	-	RIKEN cDNA 4930431P22 gene	ncRNA	28.52	29.63	99.73	76.96	1.82211170909965	1.79030786919116e-06	6.10736006617021e-05
Merged-chr10-51481714-2	chr10	51481614	51481814	+	15.900001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	exon (NM_001291893, exon 3 of 8)	exon (NM_001291893, exon 3 of 8)	1102.0	NM_001291893	14727.0	Mm.439661	NM_008147	ENSMUSG00000112023	Lilr4b	Gp49a|gp49	leukocyte immunoglobulin-like receptor, subfamily B, member 4B	protein-coding	118.29	157.85	326.4	237.12	1.2570453204224	8.97845296716134e-07	3.37649183619877e-05
Merged-chr9-54467742-1	chr9	54467642	54467842	+	24.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_172771, intron 6 of 43)	L2a|LINE|L2	33884.0	NM_172771	235380.0	Mm.93636	NM_172771	ENSMUSG00000041268	Dmxl2	6330586A12|6430411K14Rik|E130119P06Rik|mKIAA0856	Dmx-like 2	protein-coding	2.11	5.31	19.73	20.8	2.78812776504551	0.0013267715912497	0.0145453570990833
Merged-chr4-134728954-2	chr4	134728854	134729054	+	12.465	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	MTC|LTR|ERVL-MaLR	-24664.0	NM_207237	230815.0	Mm.18905	NM_207237	ENSMUSG00000037306	Man1c1	AI593348	mannosidase, alpha, class 1C, member 1	protein-coding	41.19	34.93	76.27	75.4	1.23852547686901	0.0009901496397661	0.0115490357452219
Merged-chr16-10953047-1	chr16	10952947	10953147	+	31.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-38250.0	NR_131135	545180.0	Mm.373756	NR_131135	ENSMUSG00000095369	Gm21859	-	predicted gene, 21859	ncRNA	5.28	2.21	38.93	21.84	3.36026466253881	2.89940296314999e-05	0.0006575515902876
Merged-chr2-73037885-2	chr2	73037785	73037985	+	15.75	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-57439.0	NM_001018042	20687.0	Mm.124328	NM_011450	ENSMUSG00000027109	Sp3	D130027J01Rik	trans-acting transcription factor 3	protein-coding	52.81	48.2	195.2	138.32	1.95760299864956	1.43665906508084e-10	1.71180730122065e-08
