PeakID (cmd=annotatePeaks.pl /home/ttroutman/2020_seidman_troutman_sakai_etal/intersect_ATAC_H3K27ac_RNA_20191027/mergePeaks_C57_NoTx_Tim4Pos20wkNASH.txt mm10 -d /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ -size 1000) (cmd=getDiffExpression.pl /home/psaisan/MCAT/KC-H_KC_N_H3k27ac_at_peaks_w1000.txt WT WT KO KO -log2fold 1 -raw)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ Tag Count in 1000 bp (9468035.0 Total, normalization factor = 1.06, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ Tag Count in 1000 bp (22615879.0 Total, normalization factor = 0.44, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ Tag Count in 1000 bp (18749728.0 Total, normalization factor = 0.53, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ Tag Count in 1000 bp (19231109.0 Total, normalization factor = 0.52, effective total = 10000000)	WT vs. KO Log2 Fold Change	WT vs. KO p-value	WT vs. KO adj. p-value
Merged-chr5-121584357-2	chr5	121584257	121584457	+	39.900002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_009656, intron 1 of 12)	intron (NM_009656, intron 1 of 12)	9467.0	NM_001308450	11669.0	Mm.284446	NM_009656	ENSMUSG00000029455	Aldh2	AHD-M1|ALDH-E2|ALDHI|Ahd-5|Ahd5	aldehyde dehydrogenase 2, mitochondrial	protein-coding	113.01	130.0	44.8	46.28	-1.17508954143162	0.0004896276200448	0.0065555195912194
Merged-chr5-137826583-1	chr5	137826483	137826683	+	9.84	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_153510, intron 4 of 6)	intron (NM_153510, intron 4 of 6)	9695.0	NM_153510	231805.0	Mm.379385	NM_153510	ENSMUSG00000046245	Pilra	AV021745|FDF03	paired immunoglobin-like type 2 receptor alpha	protein-coding	47.53	21.67	10.13	5.72	-1.87807279309239	0.0054128180748081	0.0430849923768024
Merged-chr18-60733238-2	chr18	60733138	60733338	+	18.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_001348102)	promoter-TSS (NM_001348102)	-97.0	NM_001348102	15531.0	Mm.181862	NM_008306	ENSMUSG00000054008	Ndst1	1200015G06Rik|HSNST|HSNST 1|Hsst|N-HSST|N-HSST 1|NDST-1|b2b2230Clo	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	protein-coding	134.14	181.29	51.73	51.48	-1.37570113642365	2.23428862045733e-05	0.0005278870756485
Merged-chr8-25980001-1	chr8	25979901	25980101	+	13.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	TTS (NM_029037)	TTS (NM_029037)	-3257.0	NM_029884	52120.0	Mm.28326	NM_029884	ENSMUSG00000037260	Hgsnat	9430010M12Rik|AW208455|D8Ertd354e|Tmem76	heparan-alpha-glucosaminide N-acetyltransferase	protein-coding	122.52	123.81	35.73	41.6	-1.41505492789881	3.91069469832385e-05	0.0008426508773102
Merged-chr19-56728231-1	chr19	56728131	56728331	+	8.61	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	Intergenic	5859.0	NM_007419	11554.0	Mm.46797	NM_007419	ENSMUSG00000035283	Adrb1	Adrb-1|beta-AR	adrenergic receptor, beta 1	protein-coding	31.69	28.74	6.93	7.28	-1.8771482387003	0.0059029191679209	0.045934357365638
Merged-chr9-104039944-2	chr9	104039844	104040044	+	13.914999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_028721, intron 24 of 26)	intron (NM_028721, intron 24 of 26)	23177.0	NM_025692	66663.0	Mm.224935	NM_025692	ENSMUSG00000032557	Uba5	5730525G14Rik|AW240750|Ube1dc1	ubiquitin-like modifier activating enzyme 5	protein-coding	89.78	87.11	21.33	20.8	-1.83036285333424	1.00572343350772e-05	0.0002674569829337
Merged-chr2-157082076-1	chr2	157081976	157082176	+	13.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	L2b|LINE|L2	-2811.0	NM_001164663	320706.0	Mm.79466	NM_001164663	ENSMUSG00000055485	Soga1	9830001H06Rik|AI426038|D430036N24Rik|Soga	suppressor of glucose, autophagy associated 1	protein-coding	78.16	44.66	17.6	11.44	-1.8379758061476	0.0003390756358151	0.0048956312315116
Merged-chr2-32536992-2	chr2	32536892	32537092	+	22.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_153560, intron 1 of 10)	intron (NM_153560, intron 1 of 10)	1633.0	NM_153560	98952.0	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding	68.65	93.74	18.13	29.12	-1.54589388616058	0.0004596717528899	0.0062309465547433
Merged-chr4-140173953-2	chr4	140173853	140174053	+	27.65	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_198610, intron 1 of 9)	intron (NM_198610, intron 1 of 9)	31080.0	NR_153821	102636673.0	Mm.449180	NR_153821		Gm13029	Gm33676	predicted gene 13029	ncRNA	117.24	103.47	18.67	14.56	-2.45121113408979	3.075187549098e-09	2.48529119653913e-07
Merged-chr2-32494630-2	chr2	32494530	32494730	+	13.85	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	MIRb|SINE|MIR	-40729.0	NM_153560	98952.0	Mm.4065	NM_153560	ENSMUSG00000039157	Fam102a	AI426465|C230093N12Rik|Eeig1	family with sequence similarity 102, member A	protein-coding	103.51	93.3	27.73	35.36	-1.39258273040817	0.0002303530075948	0.0035951301699044
Merged-chr11-107322888-1	chr11	107322788	107322988	+	10.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_001359616, intron 2 of 8)	MTEb|LTR|ERVL-MaLR	-133507.0	NM_133702	68979.0	Mm.294617	NM_133702	ENSMUSG00000018433	Nol11	1500002M01Rik|AU015220|AU019874	nucleolar protein 11	protein-coding	124.63	136.63	33.07	10.92	-2.35345821621124	1.4005057892815e-08	9.39504617741473e-07
Merged-chr7-121332838-1	chr7	121332738	121332938	+	11.4	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	MTB_Mm|LTR|ERVL-MaLR	-59458.0	NM_001081327	195646.0	Mm.247449	NM_177575	ENSMUSG00000046321	Hs3st2	6430516N12Rik|A830061E14Rik|AW491345	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	protein-coding	40.14	40.68	3.73	7.8	-2.50098719449568	0.0001834217318823	0.0029964563164234
Merged-chr17-67246105-1	chr17	67246005	67246205	+	10.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_001357625, intron 1 of 32)	MER2|DNA|TcMar-Tigger	108354.0	NM_008984	19274.0	Mm.311809	NM_008984	ENSMUSG00000033278	Ptprm	RPTPmu|mKIAA4044	protein tyrosine phosphatase, receptor type, M	protein-coding	86.61	92.86	16.0	4.16	-2.94733410317805	1.14517897949176e-08	7.91086912416292e-07
Merged-chr4-129514212-1	chr4	129514112	129514312	+	13.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_010807, intron 1 of 1)	CpG	631.0	NM_010807	17357.0	Mm.424974	NM_010807	ENSMUSG00000047945	Marcksl1	AL022768|AW215397|AW536807|D4Bc1|F52|MacMARCKS|Macs2|Macs3|Mlp|Mrp	MARCKS-like 1	protein-coding	94.0	68.54	11.2	7.28	-2.93454872588767	1.54765185488074e-08	1.01820401568214e-06
